gioitinh;sothich;nganh;nguyennhan;dtbT;dtbVL;dtbHH;dtbTA;dtbNV;dtbLS;dtbDL;nguonthongtin;donoitieng;tgtimhieu
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KINH TẾ QUỐC TẾ;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;5;5
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;LUẬT KINH TẾ;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;INTERNET;5;3
NỮ;ĐỌC SÁNH, PHIM ẢNH, ÂM NHẠC;TÀI CHÍNH - NGÂN HÀNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, INTERNET;4;4
NỮ;DU LỊCH, ÂM NHẠC;TÀI CHÍNH - NGÂN HÀNG;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;5;3
NỮ;ĐỌC SÁNH, PHIM ẢNH, ÂM NHẠC, DANCING;TÂM LÝ HỌC;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;3;3
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO, ÂM NHẠC;CÔNG NGHỆ SINH HỌC;SỞ THÍCH;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;4
NAM;ĐỌC SÁNH, THỂ THAO, ÂM NHẠC;TÀI CHÍNH - NGÂN HÀNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 9 - 10;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;4;4
NỮ;THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, HỘI HỌA - MỸ THUẬT;QUẢN TRỊ KINH DOANH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, INTERNET, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;5;4
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC, THỜI TRANG, HỘI HỌA - MỸ THUẬT;THIẾT KẾ ĐỒ HỌA;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;5;5
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;TÀI CHÍNH - NGÂN HÀNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET;5;4
NỮ;DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;TÀI CHÍNH - NGÂN HÀNG;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;4;4
NAM;DU LỊCH, THỂ THAO, ÂM NHẠC;QUẢN TRỊ KINH DOANH;NĂNG LỰC BẢN THÂN;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;3;4
NỮ;DU LỊCH, ÂM NHẠC, THỜI TRANG;TÀI CHÍNH - NGÂN HÀNG;MỨC THU NHẬP CỦA GIA ĐÌNH;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;INTERNET;4;3
NỮ;DU LỊCH, THỂ THAO ĐIỆN TỬ, THỜI TRANG;QUẢN TRỊ KINH DOANH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET;5;3
NAM;THỂ THAO ĐIỆN TỬ, ÂM NHẠC;ĐIỆN - ĐIỆN TỬ;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET;3;2
NAM;THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;KỸ THUẬT XÂY DỰNG;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;INTERNET;5;4
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, THỜI TRANG;QUẢN TRỊ KINH DOANH;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;THẦY CÔ - BẠN BÈ, INTERNET;5;2
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC;BÁC SĨ RĂNG HÀM MẶT;SỞ THÍCH;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;THẦY CÔ - BẠN BÈ, INTERNET;3;3
NAM;HỘI HỌA - MỸ THUẬT;TÀI CHÍNH - NGÂN HÀNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;INTERNET;5;1
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;QUAN HỆ CÔNG CHÚNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;3;4
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG, HỘI HỌA - MỸ THUẬT;KỸ THUẬT XÂY DỰNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;4;4
NAM;ĐỌC SÁNH, DU LỊCH, ÂM NHẠC;KỸ THUẬT XÂY DỰNG;SỞ THÍCH;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;4;3
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO, ÂM NHẠC;KỸ THUẬT XÂY DỰNG;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, INTERNET, MẠNG XÃ HỘI;5;3
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;ĐIỀU KHIỂN TỰ ĐỘNG HÓA;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;3;4
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;LUẬT KINH TẾ;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET;4;3
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG, HỘI HỌA - MỸ THUẬT;KINH TẾ QUỐC TẾ;NĂNG LỰC BẢN THÂN;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;2;3
NỮ;DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC;SƯ PHẠM TOÁN HỌC;NĂNG LỰC BẢN THÂN;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;PHIM ẢNH, ÂM NHẠC, THỜI TRANG;QUẢN TRỊ KINH DOANH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;MẠNG XÃ HỘI;4;3
NAM;DU LỊCH, THỂ THAO, ÂM NHẠC, THỜI TRANG;HỆ THỐNG THÔNG TIN;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;3
NỮ;ĐỌC SÁNH;TÀI CHÍNH - NGÂN HÀNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;MẠNG XÃ HỘI;4;5
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC;KHOA HỌC PHÂN TÍCH DỮ LIỆU;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;4
NỮ;ĐỌC SÁNH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KINH TẾ QUỐC TẾ;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;THẦY CÔ - BẠN BÈ, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN;5;5
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;CÔNG NGHỆ SINH HỌC;SỞ THÍCH;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, INTERNET, MẠNG XÃ HỘI;4;3
NỮ;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;TÀI CHÍNH - NGÂN HÀNG;NĂNG LỰC BẢN THÂN;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH;4;3
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG, HỘI HỌA - MỸ THUẬT, CHƠI GAME;QUẢN TRỊ DỊCH VỤ DU LỊCH VÀ LỮ HÀNH;ĐĂNG KÝ ĐẠI;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;4;2
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH;SƯ PHẠM TOÁN HỌC;MỨC THU NHẬP CỦA GIA ĐÌNH;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;3
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC;KINH TẾ HỌC;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;INTERNET;5;5
NỮ;DU LỊCH, ÂM NHẠC;QUẢN TRỊ KINH DOANH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET;5;5
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;ĐIỀU KHIỂN TỰ ĐỘNG HÓA;SỞ THÍCH;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;5;5
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KẾ TOÁN KIỂM TOÁN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, INTERNET, MẠNG XÃ HỘI;4;3
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;CÔNG NGHỆ THÔNG TIN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;5;3
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;DU LỊCH VÀ QUẢN LÝ DU LỊCH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;3
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC;CHĂN NUÔI;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH;4;3
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG, HỘI HỌA - MỸ THUẬT;TÀI CHÍNH - NGÂN HÀNG;NĂNG LỰC BẢN THÂN;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, INTERNET;4;4
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;LUẬT TƯ PHÁP;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;GIA ĐÌNH;4;2
NỮ;DU LỊCH, THỜI TRANG;ĐÔNG PHƯƠNG HỌC;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN;5;3
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;TÀI CHÍNH - NGÂN HÀNG;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;3;3
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;TÀI CHÍNH - NGÂN HÀNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;5;1
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;ĐIỀU DƯỠNG;SỞ THÍCH;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;3;4
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;SƯ PHẠM TOÁN HỌC;NĂNG LỰC BẢN THÂN;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;3
NAM;PHIM ẢNH;QUẢN TRỊ KINH DOANH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;INTERNET;3;2
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, HỘI HỌA - MỸ THUẬT;CÔNG NGHỆ RAU HOA QUẢ VÀ CẢNH QUAN;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;THẦY CÔ - BẠN BÈ, INTERNET;3;2
